Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH4,CH4 Peak Detect
-1.97120e-02,1.76,1.76
-1.97117e-02,1.8,1.8
-1.97114e-02,1.76,1.76
-1.97110e-02,1.76,1.8
-1.97107e-02,1.76,1.72
-1.97104e-02,1.76,1.8
-1.97101e-02,1.8,1.72
-1.97098e-02,1.8,1.8
-1.97094e-02,1.76,1.76
-1.97091e-02,1.76,1.8
-1.97088e-02,1.76,1.76
-1.97085e-02,1.76,1.8
-1.97082e-02,1.76,1.72
-1.97078e-02,1.8,1.84
-1.97075e-02,1.76,1.72
-1.97072e-02,1.76,1.8
-1.97069e-02,1.76,1.76
-1.97066e-02,1.76,1.8
-1.97062e-02,1.8,1.72
-1.97059e-02,1.76,1.8
-1.97056e-02,1.76,1.72
-1.97053e-02,1.76,1.8
-1.97050e-02,1.76,1.72
-1.97046e-02,1.76,1.84
-1.97043e-02,1.76,1.76
-1.97040e-02,1.76,1.8
-1.97037e-02,1.76,1.76
-1.97034e-02,1.8,1.8
-1.97030e-02,1.76,1.72
-1.97027e-02,1.76,1.84
-1.97024e-02,1.76,1.76
-1.97021e-02,1.8,1.8
-1.97018e-02,1.8,1.72
-1.97014e-02,1.76,1.84
-1.97011e-02,1.76,1.76
-1.97008e-02,1.76,1.84
-1.97005e-02,1.76,1.72
-1.97002e-02,1.8,1.8
-1.96998e-02,1.8,1.72
-1.96995e-02,1.8,1.84
-1.96992e-02,1.76,1.76
-1.96989e-02,1.8,1.8
-1.96986e-02,1.76,1.72
-1.96982e-02,1.76,1.8
-1.96979e-02,1.76,1.76
-1.96976e-02,1.76,1.8
-1.96973e-02,1.76,1.72
-1.96970e-02,1.76,1.8
-1.96966e-02,1.8,1.76
-1.96963e-02,1.76,1.8
-1.96960e-02,1.72,1.72
-1.96957e-02,1.8,1.8
-1.96954e-02,1.76,1.72
-1.96950e-02,1.76,1.84
-1.96947e-02,1.8,1.72
-1.96944e-02,1.8,1.84
-1.96941e-02,1.76,1.76
-1.96938e-02,1.76,1.84
-1.96934e-02,1.8,1.76
-1.96931e-02,1.76,1.84
-1.96928e-02,1.76,1.72
-1.96925e-02,1.76,1.84
-1.96922e-02,1.8,1.76
-1.96918e-02,1.8,1.8
-1.96915e-02,1.76,1.76
-1.96912e-02,1.76,1.8
-1.96909e-02,1.76,1.76
-1.96906e-02,1.76,1.8
-1.96902e-02,1.76,1.72
-1.96899e-02,1.76,1.84
-1.96896e-02,1.76,1.72
-1.96893e-02,1.76,1.8
-1.96890e-02,1.76,1.72
-1.96886e-02,1.76,1.8
-1.96883e-02,1.8,1.72
-1.96880e-02,1.8,1.84
-1.96877e-02,1.76,1.72
-1.96874e-02,1.8,1.84
-1.96870e-02,1.76,1.76
-1.96867e-02,1.76,1.8
-1.96864e-02,1.8,1.76
-1.96861e-02,1.76,1.8
-1.96858e-02,1.8,1.72
-1.96854e-02,1.76,1.84
-1.96851e-02,1.8,1.72
-1.96848e-02,1.76,1.8
-1.96845e-02,1.76,1.76
-1.96842e-02,1.76,1.84
-1.96838e-02,1.76,1.72
-1.96835e-02,1.8,1.8
-1.96832e-02,1.8,1.72
-1.96829e-02,1.76,1.8
-1.96826e-02,1.76,1.72
-1.96822e-02,1.76,1.84
-1.96819e-02,1.76,1.72
-1.96816e-02,1.8,1.84
-1.96813e-02,1.76,1.76
-1.96810e-02,1.8,1.8
-1.96806e-02,1.8,1.72
-1.96803e-02,1.76,1.8
-1.96800e-02,1.76,1.72
-1.96797e-02,1.76,1.8
-1.96794e-02,1.76,1.76
-1.96790e-02,1.76,1.8
-1.96787e-02,1.76,1.72
-1.96784e-02,1.8,1.8
-1.96781e-02,1.8,1.76
-1.96778e-02,1.8,1.84
-1.96774e-02,1.76,1.72
-1.96771e-02,1.76,1.8
-1.96768e-02,1.76,1.72
-1.96765e-02,1.76,1.8
-1.96762e-02,1.76,1.76
-1.96758e-02,1.76,1.84
-1.96755e-02,1.8,1.72
-1.96752e-02,1.76,1.84
-1.96749e-02,1.8,1.72
-1.96746e-02,1.76,1.84
-1.96742e-02,1.76,1.72
-1.96739e-02,1.76,1.8
-1.96736e-02,1.8,1.72
-1.96733e-02,1.8,1.8
-1.96730e-02,1.8,1.72
-1.96726e-02,1.8,1.8
-1.96723e-02,1.76,1.72
-1.96720e-02,1.76,1.8
-1.96717e-02,1.8,1.72
-1.96714e-02,1.76,1.84
-1.96710e-02,1.76,1.72
-1.96707e-02,1.8,1.84
-1.96704e-02,1.76,1.76
-1.96701e-02,1.76,1.84
-1.96698e-02,1.76,1.72
-1.96694e-02,1.76,1.8
-1.96691e-02,1.76,1.72
-1.96688e-02,1.76,1.84
-1.96685e-02,1.76,1.76
-1.96682e-02,1.76,1.8
-1.96678e-02,1.8,1.72
-1.96675e-02,1.76,1.8
-1.96672e-02,1.8,1.76
-1.96669e-02,1.76,1.84
-1.96666e-02,1.76,1.76
-1.96662e-02,1.8,1.84
-1.96659e-02,1.76,1.76
-1.96656e-02,1.76,1.84
-1.96653e-02,1.8,1.72
-1.96650e-02,1.76,1.84
-1.96646e-02,1.76,1.76
-1.96643e-02,1.76,1.8
-1.96640e-02,1.76,1.76
-1.96637e-02,1.76,1.8
-1.96634e-02,1.76,1.72
-1.96630e-02,1.76,1.8
-1.96627e-02,1.8,1.72
-1.96624e-02,1.8,1.84
-1.96621e-02,1.8,1.72
-1.96618e-02,1.76,1.84
-1.96614e-02,1.76,1.72
-1.96611e-02,1.8,1.84
-1.96608e-02,1.8,1.72
-1.96605e-02,1.76,1.8
-1.96602e-02,1.76,1.76
-1.96598e-02,1.76,1.8
-1.96595e-02,1.76,1.72
-1.96592e-02,1.8,1.8
-1.96589e-02,1.76,1.72
-1.96586e-02,1.8,1.8
-1.96582e-02,1.8,1.76
-1.96579e-02,1.8,1.8
-1.96576e-02,1.76,1.72
-1.96573e-02,1.76,1.8
-1.96570e-02,1.8,1.72
-1.96566e-02,1.76,1.84
-1.96563e-02,1.8,1.72
-1.96560e-02,1.76,1.8
-1.96557e-02,1.76,1.72
-1.96554e-02,1.8,1.8
-1.96550e-02,1.76,1.76
-1.96547e-02,1.76,1.8
-1.96544e-02,1.76,1.72
-1.96541e-02,1.76,1.84
-1.96538e-02,1.8,1.72
-1.96534e-02,1.8,1.8
-1.96531e-02,1.76,1.72
-1.96528e-02,1.76,1.8
-1.96525e-02,1.8,1.76
-1.96522e-02,1.8,1.8
-1.96518e-02,1.76,1.76
-1.96515e-02,1.8,1.8
-1.96512e-02,1.8,1.72
-1.96509e-02,1.8,1.8
-1.96506e-02,1.8,1.76
-1.96502e-02,1.8,1.8
-1.96499e-02,1.8,1.76
-1.96496e-02,1.8,1.8
-1.96493e-02,1.76,1.72
-1.96490e-02,1.8,1.84
-1.96486e-02,1.8,1.72
