27, 32, 38, 44, 50, 56, 63, 70,
78, 85, 93, 101, 109, 118, 126, 135,
144, 153, 162, 171, 179, 188, 197, 206,
215, 223, 232, 240, 248, 256, 263, 271,
278, 284, 291, 297, 303, 308, 313, 318,
322, 325, 329, 332, 334, 336, 338, 339,
339, 339, 339, 338, 337, 335, 333, 330,
327, 324, 320, 315, 311, 305, 300, 294,
288, 281, 274, 267, 260, 252, 244, 236,
228, 219, 211, 202, 193, 184, 175, 166,
157, 148, 140, 131, 122, 114, 105, 97,
89, 82, 74, 67, 60, 53, 47, 41,
35, 30, 25, 21, 17, 13, 10, 7,
5, 3, 1, 1, 0, 0, 1, 1,
3, 5, 7, 10, 13, 17, 21, 25,
