Time Stamp: 332  Current (mA): -10379
Time Stamp: 2560         Current (mA): -10258
Time Stamp: 4788         Current (mA): -10124
Time Stamp: 7016         Current (mA): -9855
Time Stamp: 9244         Current (mA): -9627
Time Stamp: 11472        Current (mA): -9211
Time Stamp: 13700        Current (mA): -8620
Time Stamp: 15928        Current (mA): -8110
Time Stamp: 18156        Current (mA): -7559
Time Stamp: 20384        Current (mA): -6915
Time Stamp: 22612        Current (mA): -6297
Time Stamp: 24840        Current (mA): -5760
Time Stamp: 27068        Current (mA): -5250
Time Stamp: 29296        Current (mA): -4699
Time Stamp: 31524        Current (mA): -4135
Time Stamp: 33752        Current (mA): -3518
Time Stamp: 35980        Current (mA): -2806
Time Stamp: 38208        Current (mA): -2175
Time Stamp: 40436        Current (mA): -1718
Time Stamp: 42664        Current (mA): -1141
Time Stamp: 44892        Current (mA): -590
Time Stamp: 47120        Current (mA): -147
Time Stamp: 49348        Current (mA): 335
Time Stamp: 51576        Current (mA): 751
Time Stamp: 53804        Current (mA): 1168
Time Stamp: 56032        Current (mA): 1705
Time Stamp: 58260        Current (mA): 2188
Time Stamp: 60488        Current (mA): 3088
Time Stamp: 62716        Current (mA): 3665
Time Stamp: 64944        Current (mA): 4229
Time Stamp: 67172        Current (mA): 4847
Time Stamp: 69400        Current (mA): 5397
Time Stamp: 71628        Current (mA): 5867
Time Stamp: 73856        Current (mA): 6391
Time Stamp: 76084        Current (mA): 6928
Time Stamp: 78312        Current (mA): 7237
Time Stamp: 80540        Current (mA): 7882
Time Stamp: 82768        Current (mA): 8768
Time Stamp: 84996        Current (mA): 9063
Time Stamp: 87224        Current (mA): 9278
Time Stamp: 89452        Current (mA): 9761
Time Stamp: 91680        Current (mA): 10111
Time Stamp: 93908        Current (mA): 10258
Time Stamp: 96136        Current (mA): 10554
Time Stamp: 98364        Current (mA): 10755
Time Stamp: 100592       Current (mA): 10809
Time Stamp: 102820       Current (mA): 10916
Time Stamp: 105048       Current (mA): 11050
Time Stamp: 107276       Current (mA): 11118
Time Stamp: 109504       Current (mA): 11198
Time Stamp: 111732       Current (mA): 11238
Time Stamp: 113960       Current (mA): 11279
Time Stamp: 116188       Current (mA): 11265
Time Stamp: 118416       Current (mA): 11265
Time Stamp: 120644       Current (mA): 11238
Time Stamp: 122872       Current (mA): 11198
Time Stamp: 125100       Current (mA): 11077
Time Stamp: 127328       Current (mA): 10970
Time Stamp: 129556       Current (mA): 10876
Time Stamp: 131784       Current (mA): 10742
Time Stamp: 134012       Current (mA): 10581
Time Stamp: 136240       Current (mA): 10393
Time Stamp: 138468       Current (mA): 10218
Time Stamp: 140696       Current (mA): 10017
Time Stamp: 142924       Current (mA): 9761
Time Stamp: 145152       Current (mA): 9332
Time Stamp: 147380       Current (mA): 8728
Time Stamp: 149608       Current (mA): 8244
Time Stamp: 151836       Current (mA): 7653
Time Stamp: 154064       Current (mA): 6968
Time Stamp: 156292       Current (mA): 6405
Time Stamp: 158520       Current (mA): 5881
Time Stamp: 160748       Current (mA): 5344
Time Stamp: 162976       Current (mA): 4807
Time Stamp: 165204       Current (mA): 4243
Time Stamp: 167432       Current (mA): 3746
Time Stamp: 169660       Current (mA): 2927
Time Stamp: 171888       Current (mA): 2108
Time Stamp: 174116       Current (mA): 1732
Time Stamp: 176344       Current (mA): 1289
Time Stamp: 178572       Current (mA): 711
Time Stamp: 180800       Current (mA): 214
Time Stamp: 183028       Current (mA): -201
Time Stamp: 185256       Current (mA): -604
Time Stamp: 187484       Current (mA): -1060
Time Stamp: 189712       Current (mA): -1665
Time Stamp: 191940       Current (mA): -2269
Time Stamp: 194168       Current (mA): -2860
Time Stamp: 196396       Current (mA): -3544
Time Stamp: 198624       Current (mA): -4189
Time Stamp: 200852       Current (mA): -4726
Time Stamp: 203080       Current (mA): -5277
Time Stamp: 205308       Current (mA): -5747
Time Stamp: 207536       Current (mA): -6311
Time Stamp: 209764       Current (mA): -6807
Time Stamp: 211992       Current (mA): -7277
Time Stamp: 214220       Current (mA): -7814
Time Stamp: 216448       Current (mA): -8231
Time Stamp: 218676       Current (mA): -8553
Time Stamp: 220904       Current (mA): -8862
Time Stamp: 223132       Current (mA): -9171
Time Stamp: 225360       Current (mA): -9439
Time Stamp: 227588       Current (mA): -9641
Time Stamp: 229816       Current (mA): -9842
Time Stamp: 232044       Current (mA): -10030
Time Stamp: 234272       Current (mA): -10164
Time Stamp: 236500       Current (mA): -10272
Time Stamp: 238728       Current (mA): -10325
Time Stamp: 240956       Current (mA): -10460
Time Stamp: 243184       Current (mA): -10527
Time Stamp: 245412       Current (mA): -10594
Time Stamp: 247640       Current (mA): -10675
Time Stamp: 249868       Current (mA): -10715
Time Stamp: 252096       Current (mA): -10755
Time Stamp: 254324       Current (mA): -10782
Time Stamp: 256552       Current (mA): -10795
Time Stamp: 258780       Current (mA): -10795
Time Stamp: 261008       Current (mA): -10782
Time Stamp: 263236       Current (mA): -10755
Time Stamp: 265464       Current (mA): -10527
Time Stamp: 267692       Current (mA): -10312
