tamp: 338. Current (mA): -5935
Time Stamp: 2571. Current (mA): -5505
Time Stamp: 4804. Current (mA): -4941
Time Stamp: 7037. Current (mA): -4323
Time Stamp: 9270. Current (mA): -3719
Time Stamp: 11503. Current (mA): -3021
Time Stamp: 13736. Current (mA): -2282
Time Stamp: 15969. Current (mA): -1745
Time Stamp: 18202. Current (mA): -1262
Time Stamp: 20435. Current (mA): -657
Time Stamp: 22668. Current (mA): -120
Time Stamp: 24901. Current (mA): 335
Time Stamp: 27134. Current (mA): 778
Time Stamp: 29367. Current (mA): 1114
Time Stamp: 31600. Current (mA): 1463
Time Stamp: 33833. Current (mA): 2000
Time Stamp: 36066. Current (mA): 3034
Time Stamp: 38299. Current (mA): 3612
Time Stamp: 40532. Current (mA): 4001
Time Stamp: 42765. Current (mA): 4632
Time Stamp: 44998. Current (mA): 5223
Time Stamp: 47231. Current (mA): 5599
Time Stamp: 49464. Current (mA): 6123
Time Stamp: 51697. Current (mA): 6780
Time Stamp: 53930. Current (mA): 7197
Time Stamp: 56163. Current (mA): 7573
Time Stamp: 58396. Current (mA): 8526
Time Stamp: 60629. Current (mA): 9144
Time Stamp: 62862. Current (mA): 9211
Time Stamp: 65095. Current (mA): 9681
Time Stamp: 67328. Current (mA): 10218
Time Stamp: 69561. Current (mA): 10272
Time Stamp: 71794. Current (mA): 10540
Time Stamp: 74027. Current (mA): 10836
Time Stamp: 76260. Current (mA): 10957
Time Stamp: 78493. Current (mA): 11050
Time Stamp: 80726. Current (mA): 11144
Time Stamp: 82959. Current (mA): 11198
Time Stamp: 85192. Current (mA): 11265
Time Stamp: 87425. Current (mA): 11306
Time Stamp: 89658. Current (mA): 11346
Time Stamp: 91891. Current (mA): 11346
Time Stamp: 94124. Current (mA): 11346
Time Stamp: 96357. Current (mA): 11332
Time Stamp: 98590. Current (mA): 11292
Time Stamp: 100823. Current (mA): 11198
Time Stamp: 103056. Current (mA): 11104
Time Stamp: 105289. Current (mA): 11037
Time Stamp: 107522. Current (mA): 10903
Time Stamp: 109755. Current (mA): 10782
Time Stamp: 111988. Current (mA): 10634
Time Stamp: 114221. Current (mA): 10433
Time Stamp: 116454. Current (mA): 10231
Time Stamp: 118687. Current (mA): 10043
Time Stamp: 120920. Current (mA): 9708
Time Stamp: 123153. Current (mA): 9130
Time Stamp: 125386. Current (mA): 8513
Time Stamp: 127619. Current (mA): 7989
Time Stamp: 129852. Current (mA): 7412
Time Stamp: 132085. Current (mA): 6780
Time Stamp: 134318. Current (mA): 6230
Time Stamp: 136551. Current (mA): 5773
Time Stamp: 138784. Current (mA): 5209
Time Stamp: 141017. Current (mA): 4592
Time Stamp: 143250. Current (mA): 4068
Time Stamp: 145483. Current (mA): 3424
Time Stamp: 147716. Current (mA): 2484
Time Stamp: 149949. Current (mA): 1960
Time Stamp: 152182. Current (mA): 1624
Time Stamp: 154415. Current (mA): 1074
Time Stamp: 156648. Current (mA): 496
Time Stamp: 158881. Current (mA): 93
Time Stamp: 161114. Current (mA): -322
Time Stamp: 163347. Current (mA): -657
Time Stamp: 165580. Current (mA): -1127
Time Stamp: 167813. Current (mA): -1933
Time Stamp: 170046. Current (mA): -2524
Time Stamp: 172279. Current (mA): -3128
Time Stamp: 174512. Current (mA): -3786
Time Stamp: 176745. Current (mA): -4350
Time Stamp: 178978. Current (mA): -4860
Time Stamp: 181211. Current (mA): -5344
Time Stamp: 183444. Current (mA): -5854
Time Stamp: 185677. Current (mA): -6485
Time Stamp: 187910. Current (mA): -6942
Time Stamp: 190143. Current (mA): -7519
Time Stamp: 192376. Current (mA): -8016
Time Stamp: 194609. Current (mA): -8365
Time Stamp: 196842. Current (mA): -8647
Time Stamp: 199075. Current (mA): -9009
Time Stamp: 201308. Current (mA): -9305
Time Stamp: 203541. Current (mA): -9479
Time Stamp: 205774. Current (mA): -9667
Time Stamp: 208007. Current (mA): -9869
Time Stamp: 210240. Current (mA): -10017
Time Stamp: 212473. Current (mA): -10164
Time Stamp: 214706. Current (mA): -10218
Time Stamp: 216939. Current (mA): -10299
Time Stamp: 219172. Current (mA): -10406
Time Stamp: 221405. Current (mA): -10446
Time Stamp: 223638. Current (mA): -10513
Time Stamp: 225871. Current (mA): -10554
Time Stamp: 228104. Current (mA): -10581
Time Stamp: 230337. Current (mA): -10607
Time Stamp: 232570. Current (mA): -10634
Time Stamp: 234803. Current (mA): -10634
Time Stamp: 237036. Current (mA): -10607
Time Stamp: 239269. Current (mA): -10581
Time Stamp: 241502. Current (mA): -10352
Time Stamp: 243735. Current (mA): -10178
Time Stamp: 245968. Current (mA): -10070
Time Stamp: 248201. Current (mA): -9896
Time Stamp: 250434. Current (mA): -9654
Time Stamp: 252667. Current (mA): -9453
Time Stamp: 254900. Current (mA): -9063
Time Stamp: 257133. Current (mA): -8432
Time Stamp: 259366. Current (mA): -7882
Time Stamp: 261599. Current (mA): -7385
Time Stamp: 263832. Current (mA): -6794
Time Stamp: 266065. Current (mA): -6217

